# num_ytids=22160, num_segs=22160, num_unique_labels=527, num_positive_labels=52882
# YTID, start_seconds, end_seconds, positive_labels
--PJHxphWEs,30,40,"/m/09x0r,/t/dd00088"
--ZhevVpy1s,50,60,/m/012xff
--aE2O5G5WE,0,10,"/m/03fwl,/m/04rlf,/m/09x0r"
--aO5cdqSAg,30,40,"/t/dd00003,/t/dd00005"
--aaILOrkII,200,210,"/m/032s66,/m/073cg4"
--cB2ZVjpnA,30,40,/m/01y3hg
--ekDLDTUXA,30,40,"/m/015lz1,/m/07pws3f"
-0DLPzsiXXE,30,40,"/m/04rlf,/m/07qwdck"
-0DdlOuIFUI,50,60,"/m/0130jx,/m/02jz0l,/m/0838f"
-0FHUc78Gqo,30,40,"/m/02w4v,/m/04rlf"
-0O3e95y4gE,100,110,"/m/07r4wb8,/t/dd00125"
-0SdAVK79lg,30,40,"/m/0155w,/m/01lyv,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l"
-0Vl4HyWRk8,410,420,"/m/085jw,/m/0l14l2"
-0mG4W5Hlq8,270,280,"/m/04rlf,/m/05fw6t,/m/07r4k75,/m/09x0r,/m/0ytgt"
-0mjrMposBM,80,90,/m/04zmvq
-11LhdJgBb8,30,40,"/m/04rlf,/m/07qn4z3"
-1LrH01Ei1w,30,40,"/m/02p0sh1,/m/04rlf"
-1TLtjPtnms,10,20,"/m/03lty,/m/04rlf,/m/07szfh9"
-1iKLvsRBbE,80,90,"/m/015lz1,/m/07pws3f"
-24dqQM_rDk,30,40,"/m/04rlf,/t/dd00003"
-275_wTLm-4,7,17,/m/07q6cd_
-28U1_qW0sU,30,40,/m/07qwdck
-2PDE7hUArE,30,40,"/m/02mk9,/m/07pb8fc,/t/dd00066"
-2X03mO3T_U,30,40,"/m/04k94,/m/0dv3j"
-2hQKCE-oTI,30,40,/m/07pbtc8
-30H9V1IKps,6,16,"/m/07yv9,/m/09x0r,/m/0gvgw0"
-38Qgsbh7NQ,100,110,"/m/013y1f,/m/03xq_f"
-3HYdaJyF4U,30,40,"/m/04rlf,/m/06rqw"
-3IGxVTJvgI,30,40,"/m/06bz3,/m/09x0r"
-3IYpJfLVJk,30,40,"/m/03k3r,/m/07q5rw0,/m/0jbk"
-3hKkjKmIGE,30,40,"/m/019jd,/m/06q74"
-3pPrlCm6gg,30,40,/m/01wy6
-4NLarMj4xU,30,40,"/m/04rlf,/t/dd00034"
-4RWqM0UCCY,0,10,"/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9"
-4hZyOdm7EI,200,210,"/m/015lz1,/m/015vgc"
-4xJv59_zcA,30,40,"/m/07pl1bw,/m/083vt"
-5-vmt2iKT0,30,40,"/m/02zsn,/m/09x0r"
-5DdYkYOjy0,30,40,/m/06h7j
-5GhUbDLYkQ,16,26,"/m/0130jx,/m/02jz0l,/m/0838f"
-5Jlimvsuwo,90,100,"/m/011k_j,/m/04rlf"
-5Kk-m7BmiE,21,31,"/m/07pyf11,/m/07qmpdm"
-5S70zOSw30,30,40,"/m/030rvx,/m/07pzfmf,/m/09x0r"
-5f6hjZf9Yw,30,40,"/m/02w4v,/m/04rlf"
-5xOcMJpTUk,70,80,"/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"
-60XojQWWoc,30,40,"/m/02rhddq,/m/07r04,/m/07yv9"
-64xnyOswXA,120,130,/m/0cdnk
-693sNKI3iM,30,40,"/m/015lz1,/m/01swy6,/m/04rlf"
-6QGvxvaTkI,280,290,"/m/01p970,/m/026t6,/m/0l14md"
-6RN8skIHU4,20,30,"/m/09x0r,/m/0dv5r,/t/dd00125"
-6fxJZ7CW00,30,40,/m/07pjjrj
-6gC_nlUBfA,60,70,"/m/02y_763,/m/09x0r"
-6krAYK2LLo,30,40,"/m/04rlf,/m/06j64v,/m/0l14gg"
-6pcgdLfb_A,110,120,"/m/04rlf,/t/dd00035"
-6sgMgtW91g,20,30,"/m/04rlf,/m/05rj2,/m/09x0r"
-6x2PtSRfJU,30,40,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/09x0r"
-70MzkgSsHQ,30,40,"/m/04rlf,/m/04rzd"
-70wVF5u-gg,30,40,/m/07pn_8q
-75IwDlkzDQ,30,40,"/m/01h82_,/m/02mk9"
-76P3VHPuus,10,20,/m/01jg1z
-7J4109yM7w,30,40,"/m/02mk9,/m/07yv9,/t/dd00130"
-7QVE8o9uk4,30,40,"/m/01yg9g,/m/04rlf,/m/07yv9"
-7WpTk5AHfk,30,40,"/m/04rlf,/m/07pws3f,/m/09x0r"
-7aibH1LKwI,90,100,/t/dd00121
-7wUQP6G5EQ,30,40,"/m/02cjck,/m/02w4v,/m/04rlf"
-7ye24UFRng,0,10,"/m/032n05,/m/04rlf"
-7z662AsuTE,380,390,/m/0mbct
-82vJ9bcar4,40,50,/m/0642b4
-8CrCItCO24,30,40,/m/07q7njn
-8Ezw9946g8,100,110,/m/0fqfqc
-8H4GKg-mYQ,30,40,"/m/04rlf,/m/07gxw"
-8S_tLKfeJg,200,210,"/m/04fgwm,/m/09x0r,/t/dd00125"
-8_HpHg6nCw,30,40,"/m/07ptzwd,/m/0838f"
-8fQePz4FcE,30,40,"/m/04rlf,/m/07xzm,/t/dd00126"
-8n2NqDFRko,30,40,"/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r"
-8wQV7VJnmM,30,40,"/m/04rlf,/m/04wptg,/t/dd00031"
-92cYmTgIjM,190,200,/m/02fxyj
-99daJhXYJY,30,40,"/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
-9ME9qMgkeY,270,280,"/m/08j51y,/m/09ct_"
-9Nl3LZBCOo,200,210,"/m/01s0vc,/m/09x0r"
-9c1c8G_WO8,24,34,"/m/07c52,/m/09x0r"
-9ek6eO0RtI,260,270,/m/03wwcy
-9wxcZf43a4,530,540,/m/0cj0r
-A0MTi2NMGI,30,40,/t/dd00134
-AIrHVeCgtM,30,40,"/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r"
-ASYwidRD7M,30,40,/m/01d3sd
-AgbNy9f2sg,80,90,"/m/019jd,/m/06q74"
-Ar7D-GARhI,30,40,"/m/07bgp,/m/07q0h5t,/m/09x0r"
-AswFDuOptQ,0,10,"/m/04k94,/m/04rlf,/m/09x0r"
-AvC89aikTw,180,190,/m/0242l
-B3_mFE3pog,30,40,/m/07qfgpx
-BIMKnb3tlo,410,420,"/m/01p970,/m/026t6,/m/0l14md"
-BcwR0CSZ4w,150,160,"/m/07mzm6,/m/07ppn3j,/m/0ytgt"
-BqpAyCLh7U,450,460,"/m/01m2v,/m/04rlf,/m/09x0r"
-BwM5Va6XFg,70,80,"/m/023pjk,/m/04brg2"
-BxQ9nkrId4,30,40,/m/07qv_x_
-By_0iIghuE,30,40,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
-C5dEU4zpJg,30,40,"/m/025_jnm,/m/04rlf"
-CHMeZVAe2s,30,40,/m/01jg1z
-CIxoobEubQ,250,260,"/m/02p01q,/m/07pdjhy,/m/083vt"
-CUp_Tmg2Y0,30,40,"/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/0bm02,/m/0l14md"
-CgdUiJaNdU,170,180,"/m/07sq110,/m/09x0r"
-CniGkDLq-Y,30,40,"/m/04rlf,/t/dd00004"
-DBcp6YGi6k,30,40,/t/dd00018
-DLL8LaKq-c,19,29,"/m/07pws3f,/m/09x0r"
-DNkAalo7og,30,40,"/m/02mk9,/m/07pb8fc,/t/dd00066"
-DWRAxaH_RY,300,310,"/m/04rlf,/m/09x0r,/m/0l156b"
-DYZX74qgFQ,30,40,"/m/04rlf,/t/dd00032"
-DZMYxyB6L8,40,50,/m/05lls
-D_ljLTbCK0,220,230,"/m/04rlf,/m/09ct_"
-DcMk015qSA,290,300,/m/07qh7jl
-DeAdhYKbGE,290,300,"/m/0192l,/m/085jw"
